"type", "subtype", "cert", "date.documented", "onset", "terminus", "periodical.id", "periodical.title"
"censorship","PR","","1901-07-01","","","oape:1473","Abū al-Hawl"
"lifeCycle","1","","1906-07-01","","","oape:1473","Abū al-Hawl"
"censorship","P","","1878-06-13","","","oape:649","al-Iskandariyya"
"censorship","P","","1879-07-25","","","oape:668","al-Iʿtidāl"
"censorship","S","","1879-10-27","","","oape:668","al-Iʿtidāl"
"censorship","P","","1882-07-31","","","oape:719","al-Iʿtidāl"
"censorship","P","","1898-03-15","","","oclc:1588981","al-Manār"
"censorship","P","","1898-01-01","","","oclc:473817521","al-Mashriq"
"censorship","S","","1902-11-24","","","oclc:473817521","al-Mashriq"
"censorship","S","","1904-05-14","","","oclc:473817521","al-Mashriq"
"start","S","high","1884-04-01","","","oclc:1034541808","al-Maḥrūsa"
"start","PR","","1884-04-01","","","oclc:1034541808","al-Maḥrūsa"
"censorship","P","","1880-01-02","","","oclc:792755671","al-Miṣbāḥ"
"censorship","W","","1881-09-19","","","oclc:792755671","al-Miṣbāḥ"
"censorship","S","","1881-11-14","","","oclc:792755671","al-Miṣbāḥ"
"censorship","S","","1889-05-20","","","oclc:792755671","al-Miṣbāḥ"
"censorship","W","","1894-02-12","","","oclc:792755671","al-Miṣbāḥ"
"censorship","S","","1895-01-21","","","oclc:792755671","al-Miṣbāḥ"
"censorship","W","","1897-10-05","","","oclc:792755671","al-Miṣbāḥ"
"censorship","S","","1898-06-30","","","oclc:792755671","al-Miṣbāḥ"
"censorship","W","","1900-02-16","","","oclc:792755671","al-Miṣbāḥ"
"censorship","RP","","1901-06-15","","","oclc:792755671","al-Miṣbāḥ"
"censorship","RP","","1901-06-15","","","oclc:792755671","al-Miṣbāḥ"
"censorship","P","","","","","oclc:792755671","al-Miṣbāḥ"
"censorship","W","","1904-04-25","","","oclc:792755671","al-Miṣbāḥ"
"censorship","S","","1904-08-15","","","oclc:792755671","al-Miṣbāḥ"
"censorship","PR","","1908-08-31","","","oclc:792755671","al-Miṣbāḥ"
"censorship","P","","1900-12-06","","","oape:1235","al-Miṣbāḥ al-Jadīd"
"lifeCycle","CP","","1901-01-28","","","oape:1235","al-Miṣbāḥ al-Jadīd"
"start","1","","1897-02-09","","","oape:3309","al-Manāẓir"
"censorship","P","","1900-01-02","","","oape:3324","al-Quds"
"censorship","P","","1883-02-12","","","NA","Al-Shām: Muḥāḍarāt wa Muqtaṭafāt"
"censorship","P","","1899-10-08","","","oape:1169","al-Āmāl"
"censorship","P","","1898-05-21","","","oape:3312","al-ʿUthmānī"
"censorship","P","","1890-07-13","","","oclc:175857194","al-Ḥuqūq"
"censorship","BI","","1884-12-10","","","NA","All Egyptian newspapers"
"censorship","W","","1882-04-17","","","NA","All newspapers"
"censorship","W","","1880-10-25","","","NA","All newspapers"
"censorship","W","","1880-12-20","","","NA","All newspapers"
"censorship","W","","1881-06-06","","","NA","All newspapers"
"censorship","W","","1886-04-12","","","NA","All newspapers"
"censorship","W","","1887-02-14","","","NA","All newspapers"
"censorship","W","","1887-07-08","","","NA","All newspapers"
"censorship","W","","1899-08-25","","","NA","All newspapers"
"censorship","S","","1911-07-27","","","NA","Arnāwūṭ"
"censorship","Trial","","1909-05-01","","","oape:1912","Baradā"
"censorship","W","","1887-07-04","","","oape:287","Bayrūt"
"censorship","W","","1889-08-21","","","oape:287","Bayrūt"
"censorship","W","","","","","oape:287","Bayrūt"
"censorship","W","","1894-04-23","","","oape:287","Bayrūt"
"censorship","S","","1900-08-05","","","oape:287","Bayrūt"
"censorship","S","","1903-09-03","","","oape:287","Bayrūt"
"censorship","W","","1903-10-22","","","oape:287","Bayrūt"
"censorship","W","","1904-04-18","","","oape:287","Bayrūt"
"censorship","S","high","1904-07-04","1904-07-11","1904-08-01","oape:287","Bayrūt"
"censorship","PR","","1904-08-01","","","oape:287","Bayrūt"
"censorship","W","","1906-09-16","","","oape:287","Bayrūt"
"censorship","S","high","1908-02-12","","","oape:287","Bayrūt"
"censorship","PR","","1908-03-09","","","oape:287","Bayrūt"
"censorship","PR","","1914-04-06","","","NA","Bayān"
"censorship","P","","1895-08-25","","","oape:943","Baṣīr al-Sharq"
"lifeCycle","1","","1912-05-12","","","oape:315","Dayr al-Qamar"
"censorship","P","","1878-01-10","","","oape:646","Dimashq"
"censorship","S","","1879-06-04","","","oape:646","Dimashq"
"censorship","PR","","1879-08-04","","","oape:646","Dimashq"
"censorship","P","","1908-09-25","","","oape:1670","Dimashq"
"censorship","RP","","1913-12-01","","","oape:2055","Fatā al-ʿArab"
"lifeCycle","CP","","1914-09-11","","","oape:2066","Fatāt Lubnān"
"censorship","P","","1909-05-27","","","oape:1073","Faṣl al-Khiṭāb"
"censorship","P","","1911-01-23","","","oape:1856","Filasṭīn"
"censorship","S","","1913-12-01","","","oape:1856","Filasṭīn"
"censorship","RP","","1913-12-17","","","oape:1856","Filasṭīn"
"censorship","Trial","","1913-12-25","","","oape:1856","Filasṭīn"
"censorship","BI","","1909-10-09","","","NA","Güneş"
"censorship","RP","","1911-10-21","","","NA","Iṣlāḥāt"
"lifeCycle","1","","1909-06-02","","","NA","Jarrāb al-Kurdī"
"censorship","P","","1908-11-09","","","NA","Kashf al-Ḥijāb"
"censorship","P","","1894-03-28","","","oape:907","Kawkab al-Sharq"
"censorship","P","","1898-04-11","","","oape:1093","Kevkeb-i Osmānī"
"start","1","","1898-05-09","","","oape:1093","Kevkeb-i Osmānī"
"lifeCycle","1","","1911-04-20","","","oape:1871","Khān al-Dhahab"
"censorship","S","","1910-07-11","","","NA","Kursī-yi milel"
"censorship","RP","","1912-09-23","","","oape:3460","Lisān al-ʿArab"
"censorship","S","high","1912-09-24","","","oape:3460","Lisān al-ʿArab"
"censorship","S","high","1878-03-07","1878-04-16","1878-05-12","oape:349","Lisān al-Ḥāl"
"censorship","S","high","1880-12-27","1880-12-23","1881-01-13","oape:349","Lisān al-Ḥāl"
"censorship","W","","1884-01-03","","","oape:349","Lisān al-Ḥāl"
"censorship","W","","1884-06-16","","","oape:349","Lisān al-Ḥāl"
"censorship","S","high","1885-03-30","","1885-06-25","oape:349","Lisān al-Ḥāl"
"censorship","S","high","1887-01-24","1887-01-25","1887-02-16","oape:349","Lisān al-Ḥāl"
"censorship","S","high","1889-05-28","1889-07-27","1889-09-30","oape:349","Lisān al-Ḥāl"
"censorship","S","high","1891-07-08","","","oape:349","Lisān al-Ḥāl"
"censorship","PR","","1891-10-26","","","oape:349","Lisān al-Ḥāl"
"censorship","W","","1894-04-23","","","oape:349","Lisān al-Ḥāl"
"censorship","S","","1895-01-21","","","oape:349","Lisān al-Ḥāl"
"censorship","W","","1898-08-04","","","oape:349","Lisān al-Ḥāl"
"censorship","W","","1900-10-27","","","oape:349","Lisān al-Ḥāl"
"censorship","W","","1901-04-22","","","oape:349","Lisān al-Ḥāl"
"censorship","W","","1901-11-29","","","oape:349","Lisān al-Ḥāl"
"censorship","S","","1901-12-03","","","oape:349","Lisān al-Ḥāl"
"censorship","W","","1903-01-22","","","oape:349","Lisān al-Ḥāl"
"censorship","S","high","1903-11-01","1903-11-06","1903-11-15","oape:349","Lisān al-Ḥāl"
"censorship","S","high","1905-05-30","1904-12-23","1905-09-01","oape:349","Lisān al-Ḥāl"
"censorship","Raid","","1909-09-04","","","oape:349","Lisān al-Ḥāl"
"censorship","Trial","","1909-12-31","","","oape:349","Lisān al-Ḥāl"
